pl_hostname|pl_letter|pl_orbper|pl_tranmid|pl_trandur|st_teff|st_rad|st_mass|st_j|ra|dec|pl_rade|pl_radeerr1|pl_radeerr2|pl_ratdor|pl_rvamp|pl_masse|pl_masseerr1|pl_masseerr2|pl_ratror|pl_imppar|st_dist|st_disterr1|st_disterr2|pl_tranflag
Kepler-9|b|19.24000000|2455073.433810|0.1592700|5777.00|1.02|1.07|12.710|285.573981|38.400892|9.438|0.773|-0.773|||80.09000|4.13200|-4.13200|0.07885||650.00|||1
Kepler-9|c|38.91000000|2455164.183010|0.1712100|5777.00|1.02|1.07|12.710|285.573981|38.400892|9.225|0.751|-0.751|||54.34700|4.13200|-4.13200|0.07708||650.00|||1
Kepler-9|d|1.59285100|2455015.094300|0.0821000|5777.00|1.02|1.07|12.710|285.573981|38.400892|1.640|0.190|-0.140|5.540000|||||0.01470||650.00|||1
Kepler-10|c|45.29430100|2455062.266480|0.2874000|5627.00|1.06|0.91|9.889|285.679394|50.241299|2.350|0.090|-0.040|47.900000|3.260|17.20000|1.90000|-1.90000|0.02019|0.3600|173.00|27.00|-27.00|1
Kepler-11|b|10.30390000|2455589.737800|0.1715000|5663.00|1.06|0.96|12.548|297.115123|41.909138|1.800|0.030|-0.050|18.550000||1.90000|1.40000|-1.00000|0.01563|0.1160|613.00|||1
Kepler-11|c|13.02410000|2455583.349400|0.1893000|5663.00|1.06|0.96|12.548|297.115123|41.909138|2.870|0.050|-0.060|21.690000||2.90000|2.90000|-1.60000|0.02496|0.1560|613.00|||1
Kepler-11|d|22.68450000|2455594.006900|0.2328000|5663.00|1.06|0.96|12.548|297.115123|41.909138|3.120|0.060|-0.070|31.390000||7.30000|0.80000|-1.50000|0.02714|0.1810|613.00|||1
Kepler-11|f|46.68880000|2455618.271000|0.2680000|5663.00|1.06|0.96|12.548|297.115123|41.909138|2.490|0.040|-0.070|50.790000||2.00000|0.80000|-0.90000|0.02169|0.4630|613.00|||1
Kepler-11|g|118.38070000|2455593.802100|0.3945000|5663.00|1.06|0.96|12.548|297.115123|41.909138|3.330|0.060|-0.080|94.400000||25.00000|||0.02899|0.2170|613.00|||1
Kepler-12|b|4.43796290|2455004.009150||5947.00|1.48|1.17|12.406|286.243425|50.040382|19.661|0.347|-0.404|8.019000|48.200|137.30256|16.84499|-16.20933|0.11887|0.1680|600.00|||1
KOI-13|b|1.76358800|2454953.565960||7650.00|1.74|1.72|9.466|286.971199|46.868362|16.948|0.392|-0.392|4.500700||2949.46240|50.85280|-50.85280|0.08737|0.2536||||1
